participant, trial, stimulus, response, rt
60, 5, X, w, 0.45
60, 6, X, w, 0.2
60, 7, X, x, 0.535
60, 8, X, x, 0.57
60, 9, X, x, 0.57
60, 10, X, x, 0.57
60, 13, X, x, 0.536
60, 15, X, w, 0.2
60, 17, X, x, 0.735
60, 20, X, w, 0.45
60, 26, X, x, 0.735
60, 33, X, x, 0.735
60, 34, X, w, 0.297
60, 36, X, x, 0.62
60, 38, X, w, 0.2
60, 40, X, x, 0.62
60, 41, X, x, 0.57
60, 42, X, w, 0.25
60, 45, X, w, 0.2
60, 50, X, x, 0.735
60, 51, X, w, 0.285
60, 58, X, x, 0.535
60, 59, X, x, 0.57
60, 60, X, w, 0.25
60, 66, X, x, 0.535
60, 67, X, w, 0.25
60, 69, X, w, 0.45
60, 70, X, w, 0.2
60, 72, X, w, 0.45
60, 73, X, x, 0.535
60, 74, X, x, 0.57
60, 75, X, w, 0.25
60, 79, X, x, 0.735
60, 81, X, x, 0.735
60, 85, X, x, 0.735
60, 86, X, w, 0.297
60, 92, X, x, 0.535
60, 93, X, x, 0.57
60, 94, X, w, 0.25
60, 95, X, x, 0.62
60, 98, X, w, 0.2
60, 100, X, x, 0.735
60, 101, X, w, 0.296
60, 103, X, w, 0.45
60, 104, X, w, 0.2
60, 108, X, x, 0.535
60, 111, X, x, 0.735
60, 117, X, w, 0.45
60, 124, X, x, 0.735
60, 128, X, x, 0.735
60, 133, X, w, 0.45
60, 134, X, x, 0.535
60, 138, X, x, 0.535
60, 141, X, w, 0.45
60, 142, X, x, 0.535
60, 144, X, x, 0.735
60, 145, X, w, 0.298
60, 148, X, x, 0.735
60, 150, X, x, 0.62
60, 151, X, w, 0.25
60, 152, X, x, 0.62
60, 155, X, w, 0.45
60, 157, X, x, 0.736
60, 159, X, w, 0.2
60, 160, X, x, 0.62
60, 162, X, w, 0.2
60, 164, X, x, 0.62
60, 165, X, x, 0.57
60, 167, X, x, 0.62
60, 173, X, x, 0.735
60, 175, X, w, 0.2
60, 179, X, w, 0.45
60, 180, X, x, 0.535
60, 184, X, w, 0.45
60, 185, X, x, 0.535
60, 186, X, w, 0.25
60, 187, X, x, 0.62
60, 192, X, w, 0.2
60, 194, X, x, 0.735
60, 195, X, w, 0.298
60, 197, X, w, 0.2
60, 198, X, w, 0.2
60, 201, X, w, 0.45
60, 203, X, w, 0.2
60, 204, X, w, 0.2
60, 206, X, x, 0.535
